Function,3715,3717,3723,3733,3734,3744,3772,3773,3775
A,71,41,2,1,6,1,12,228,3
B,117,65,9,9,16,19,21,184,20
C,5596,8494,7869,8765,11894,9599,6082,8808,10005
D,1552,2579,2257,2229,4102,3042,1761,3332,2680
E,7876,12034,11054,12151,19032,14509,8168,13561,16399
F,3305,5385,4633,5252,8022,6458,3669,5914,6018
G,8729,14825,11554,12767,22930,17166,8448,16862,19824
H,4406,6743,5968,6525,9026,7593,4685,6751,7332
I,2727,4625,3834,4128,6120,5064,3050,4508,4643
J,8022,13930,11545,13138,19677,15836,10175,14937,13651
K,7389,13485,11663,11903,22682,15545,8112,15355,17105
L,8175,13887,13048,12996,23777,16799,10026,16115,14490
M,8975,15613,13305,14393,20961,16785,10590,14498,14431
N,555,1810,1579,1147,4349,1720,1272,1664,1167
O,3912,6171,4785,5385,7804,6477,4325,6693,5642
P,4616,6879,5961,6838,9058,7535,4995,6819,8136
Q,1020,1691,1393,1505,2304,1806,1089,1553,1903
R,12812,21270,17695,19372,29956,23558,14167,23547,23666
S,5640,10643,9163,9540,16197,12270,7168,10842,12094
T,4543,8138,6760,6703,14409,9252,4486,9165,9573
U,2355,3996,3271,3482,5243,3870,3030,3870,3192
V,3043,5333,4313,4735,8863,6362,3292,5614,6382
W,1,3,1,3,2,2,5,0,0
Y,11,6,0,0,0,0,2,17,0
Z,254,181,98,17,155,115,59,425,91
