,KO,Metabolism,Metabolism: Carbohydrate metabolism,Metabolism: NRG metabolism,Metabolism: Lipid metabolism,Metabolism: Nucleotide metabolism,Metabolism: AA metabolism,Metabolism: Other AA metabolism,Metabolism: Glycan,Metabolism: Cofactors and vitamins,Metabolism: Terpenoids and polyketides,Metabolism: 2dary metabolites,Metabolism: Xenobiotics,Metabolism: Enzyme families,Genetic Information Processing,Genetic Information Processing: Transcription,Genetic Information Processing: Tranlation,Genetic Information Processing: Fold sort degr,Genetic Information Processing: Replication and repair,Environ Info Process,Environ Info Process: Membrane transport,Environ Info Process: Signal transduction,Environ Info Process: Signal molec and interact,Other,Total,Assembler,Season
3715 idba,2577,46863,13728,4583,2616,4987,8062,1602,2692,4485,1054,2216,836,2,10766,485,4204,2137,3940,6427,2253,4163,11,17014,81070,IDBA,Summer
3715 spades,2233,30891,8804,2965,1868,3051,5240,1037,1882,3200,728,1523,590,3,6540,213,2889,1235,2203,4069,1529,2532,8,9453,50953,SPAdes,Summer
3717 idba,2742,75420,22258,7304,4358,8336,12435,2434,4238,7067,1933,3510,1544,3,17894,582,7181,3130,7001,10070,4431,5613,26,22238,125622,IDBA,Summer
3717 spades,2403,56374,16161,5368,3493,5857,9369,1769,3221,5729,1471,2778,1155,3,12747,302,5678,2210,4557,7439,3335,4085,19,15089,91649,SPAdes,Summer
3723 idba,2125,64405,18834,6335,3359,7296,11250,2141,3442,5921,1644,2880,1297,6,14600,471,5579,2613,5937,7724,3436,4272,16,15473,102202,IDBA,Winter
3723 spades,1923,40632,11412,3944,2325,4291,7060,1285,2333,4148,1075,1901,856,2,8871,173,3877,1568,3253,5022,2265,2747,10,9529,64054,SPAdes,Winter
3733 idba,2224,69825,20373,7148,3657,8119,11853,2286,3807,6502,1671,3007,1397,5,16375,560,6433,2803,6579,8393,4171,4200,22,16136,110729,IDBA,Winter
3733 spades,2011,43207,12065,4317,2488,4661,7190,1382,2614,4513,1129,1973,871,4,9745,197,4353,1644,3551,5355,2625,2715,15,9817,68124,SPAdes,Winter
3734 idba,2377,106420,32393,10425,5344,12408,18831,3444,5002,8959,2669,4837,2101,7,25226,851,9590,4314,10471,14751,7112,7612,27,28914,175311,IDBA,Spring
3734 spades,2086,58484,17154,5750,3318,6157,10358,1841,2700,5528,1621,2796,1257,4,13340,271,6053,2195,4821,8774,4206,4551,17,15333,95931,SPAdes,Spring
3744 idba,2283,85180,25150,8442,4537,9781,14759,2714,4350,7803,2116,3922,1599,7,19982,610,7723,3536,8113,10613,5151,5445,17,20873,136648,IDBA,Summer
3744 spades,2098,54491,15519,5316,3171,5911,9450,1692,2853,5470,1391,2586,1125,7,12512,250,5526,2103,4633,7238,3531,3691,16,12918,87159,SPAdes,Summer
3772 idba,2262,49845,14266,5080,2690,5956,8089,1629,2995,4760,1257,2142,974,7,12968,415,5086,2261,5206,6129,2774,3336,19,13277,82219,IDBA,Winter
3772 spades,1993,33660,9292,3405,1977,3712,5555,1082,2072,3423,876,1505,756,5,8220,184,3725,1398,2913,4144,1908,2223,13,8233,54257,SPAdes,Winter
3773 idba,3052,78396,23731,7691,4104,9160,13461,2560,3930,6685,1909,3633,1526,6,20080,875,7671,3781,7753,13481,5376,8084,21,33939,145896,IDBA,Spring
3773 spades,2648,46761,13565,4500,2706,5030,8125,1501,2381,4484,1200,2276,990,3,11439,337,5032,2031,4039,8228,3492,4724,12,18099,84527,SPAdes,Spring
3775 idba,2362,83167,26077,8262,4261,8820,14603,2613,3900,7278,1967,3668,1715,3,17818,553,6706,3152,7407,12103,6636,5450,17,19430,132518,IDBA,Spring
3775 spades,2124,50113,15123,5012,2868,4985,8752,1568,2444,4755,1230,2290,1081,5,10461,210,4594,1851,3806,7698,4230,3455,13,11571,79843,SPAdes,Spring
