"","Season","Phylum","Mean","SD","SE"
"1","Summer","Bacteroidetes",66.8981481481482,10.7657555131792,6.21561184356368
"2","Summer","Firmicutes",15.1388888888889,13.6951769017552,7.90691407082794
"3","Summer","Proteobacteria",15.8796296296296,8.16535955777937,4.714272538714
"4","Summer","Unclassified",2.08333333333333,3.60843918243516,2.08333333333333
"5","Summer","Viruses",0,0,0
"6","Winter","Bacteroidetes",89.6296296296296,10.0205550062731,5.78537013030123
"7","Winter","Firmicutes",10.3703703703704,10.0205550062731,5.78537013030123
"8","Winter","Proteobacteria",0,0,0
"9","Winter","Unclassified",0,0,0
"10","Winter","Viruses",0,0,0
"11","Spring","Bacteroidetes",45.5840455840456,7.75536044946792,4.47755944316288
"12","Spring","Firmicutes",31.6239316239316,1.48038530561442,0.854700854700853
"13","Spring","Proteobacteria",20.2279202279202,11.6670058287426,6.73594895586148
"14","Spring","Unclassified",2.56410256410256,4.44115591684328,2.56410256410256
"15","Spring","Viruses",0,0,0
